id;name;type;fgc_guarantee;active;minimum_investment;financial_risk;daily_liquidity;indexer_profitability;type_profitability;value_profitability;redemption_period;net_profitability;gross_income;distributor_name;issuer_name;risk;thumbnail;financial_risk_original;cdi_yearly;ipca_12
950;CDB Banco Inter Pós-Fixado 107,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;25/02/2027;9.85;11.82;Banco Inter;Banco Inter;1;https://investidor10.com.br/storage/stocks/thumbnails/6776c31d48e28.png;LOW;11.13;5.06
4073;CDB Banco Mercantil Pós-fixado 103,25% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;103.25;11/03/2028;9.85;11.41;Itaú Unibanco;Banco Mercantil do Brasil;1;https://investidor10.com.br/storage/companies/649ca663f374f.jpg;LOW;11.13;5.06
3668;CDB Banco Guanabara Pós-fixado 107,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.50;08/08/2026;9.84;11.88;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
2687;CDB Banco BS2 Pós-fixado 107,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;18/01/2027;9.84;11.82;Nubank;Banco BS2;1;https://investidor10.com.br/storage/companies/673b9d5c12354.jpg;LOW;11.13;5.06
3757;CDB Banco Guanabara Pós-fixado 107,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.50;14/08/2026;9.84;11.88;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
3792;CDB Banco Guanabara Pós-fixado 107,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.50;18/08/2026;9.84;11.88;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
4147;CDB Banco Pan Pós-fixado 103,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;12/03/2028;9.83;11.38;Nubank;Banco Pan;1;https://investidor10.com.br/storage/companies/66db00fbb3251.jpg;LOW;11.13;5.06
4099;CDB Banco Santander Pós-fixado 103,00% CDI;CDB;1;1;1.0;Baixo;Diária;CDI;POST_FIXED;103.00;11/01/2028;9.82;11.38;Banco Santander;Banco Santander;1;https://investidor10.com.br/storage/companies/66cc9b5c46f92.jpg;LOW;11.13;5.06
3906;CDB Banco Pan Pós-fixado 103,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;28/02/2028;9.82;11.38;Nubank;Banco Pan;1;https://investidor10.com.br/storage/companies/66db00fbb3251.jpg;LOW;11.13;5.06
3358;CDB Banco BS2 Pós-fixado 116,00% CDI;CDB;1;1;109.43;Baixo;No Vencimento;CDI;POST_FIXED;116.00;25/04/2025;9.81;12.82;Nubank;Banco BS2;1;https://investidor10.com.br/storage/companies/673b9d5c12354.jpg;LOW;11.13;5.06
